election_year	check	lfd_nr	field	observed	expected	difference
1966	party_identity	97	valid_votes	86628	86628	0
1966	ballot_identity	98	number_voters	55705	55705	0
1966	party_identity	98	valid_votes	54939	54939	0
1966	ballot_identity	99	number_voters	129754	129754	0
1966	party_identity	99	valid_votes	127908	127908	0
1966	ballot_identity	100	number_voters	21342	21342	0
1966	party_identity	100	valid_votes	21094	21094	0
1966	ballot_identity	101	number_voters	1998647	1998647	0
1966	party_identity	101	valid_votes	1977456	1977456	0
1966	ballot_identity	102	number_voters	8641646	8641646	0
1966	party_identity	102	valid_votes	8542493	8542493	0
1966	ballot_identity	103	number_voters	4456820	4456820	0
1966	party_identity	103	valid_votes	4395422	4395422	0
1966	source_subtotal	24	eligible_voters	3826570	3826570	0
1966	source_subtotal	24	number_voters	2837856	2837856	0
1966	source_subtotal	24	invalid_votes	28797	28797	0
1966	source_subtotal	24	valid_votes	2809059	2809059	0
1966	source_subtotal	24	cdu	1133560	1133560	0
1966	source_subtotal	24	spd	1451063	1451063	0
1966	source_subtotal	24	fdp	217285	217285	0
1966	source_subtotal	24	zentrum	1008	1008	0
1966	source_subtotal	24	uap	2063	2063	0
1966	source_subtotal	24	fsu	4080	4080	0
1966	source_subtotal	24	dkp	0	0	0
1966	source_subtotal	24	npd	0	0	0
1966	source_subtotal	34	eligible_voters	1562005	1562005	0
1966	source_subtotal	34	number_voters	1117343	1117343	0
1966	source_subtotal	34	invalid_votes	13679	13679	0
1966	source_subtotal	34	valid_votes	1103664	1103664	0
1966	source_subtotal	34	cdu	511685	511685	0
1966	source_subtotal	34	spd	503391	503391	0
1966	source_subtotal	34	fdp	87515	87515	0
1966	source_subtotal	34	zentrum	0	0	0
1966	source_subtotal	34	uap	253	253	0
1966	source_subtotal	34	fsu	820	820	0
1966	source_subtotal	34	dkp	0	0	0
1966	source_subtotal	34	npd	0	0	0
1966	source_subtotal	43	eligible_voters	650839	650839	0
1966	source_subtotal	43	number_voters	516898	516898	0
1966	source_subtotal	43	invalid_votes	9196	9196	0
1966	source_subtotal	43	valid_votes	507702	507702	0
1966	source_subtotal	43	cdu	272036	272036	0
1966	source_subtotal	43	spd	204457	204457	0
1966	source_subtotal	43	fdp	31209	31209	0
1966	source_subtotal	43	zentrum	0	0	0
1966	source_subtotal	43	uap	0	0	0
1966	source_subtotal	43	fsu	0	0	0
1966	source_subtotal	43	dkp	0	0	0
1966	source_subtotal	43	npd	0	0	0
1966	source_subtotal	60	eligible_voters	1534235	1534235	0
1966	source_subtotal	60	number_voters	1244677	1244677	0
1966	source_subtotal	60	invalid_votes	12406	12406	0
1966	source_subtotal	60	valid_votes	1232271	1232271	0
1966	source_subtotal	60	cdu	598089	598089	0
1966	source_subtotal	60	spd	557617	557617	0
1966	source_subtotal	60	fdp	64029	64029	0
1966	source_subtotal	60	zentrum	11263	11263	0
1966	source_subtotal	60	uap	0	0	0
1966	source_subtotal	60	fsu	1273	1273	0
1966	source_subtotal	60	dkp	0	0	0
1966	source_subtotal	60	npd	0	0	0
1966	source_subtotal	75	eligible_voters	1165240	1165240	0
1966	source_subtotal	75	number_voters	926225	926225	0
1966	source_subtotal	75	invalid_votes	13884	13884	0
1966	source_subtotal	75	valid_votes	912341	912341	0
1966	source_subtotal	75	cdu	388374	388374	0
1966	source_subtotal	75	spd	426969	426969	0
1966	source_subtotal	75	fdp	95471	95471	0
1966	source_subtotal	75	zentrum	1527	1527	0
1966	source_subtotal	75	uap	0	0	0
1966	source_subtotal	75	fsu	0	0	0
1966	source_subtotal	75	dkp	0	0	0
1966	source_subtotal	75	npd	0	0	0
1966	source_subtotal	101	eligible_voters	2553152	2553152	0
1966	source_subtotal	101	number_voters	1998647	1998647	0
1966	source_subtotal	101	invalid_votes	21191	21191	0
1966	source_subtotal	101	valid_votes	1977456	1977456	0
1966	source_subtotal	101	cdu	749440	749440	0
1966	source_subtotal	101	spd	1083107	1083107	0
1966	source_subtotal	101	fdp	138256	138256	0
1966	source_subtotal	101	zentrum	2383	2383	0
1966	source_subtotal	101	uap	859	859	0
