ags	source_page	source_row	field	printed_percentage	method
01051035	21	8	gruene	5.5	ocr
01051036	20	9	without_certificate	94.7	ocr
01051036	20	9	with_certificate	5.3	ocr
01051036	20	9	number_voters	86.3	ocr
01051036	21	9	spd	7.3	ocr
01051036	21	9	fdp	2.4	ocr
01051037	20	10	without_certificate	93.3	ocr
01051037	20	10	with_certificate	6.7	ocr
01051037	20	10	number_voters	78.9	ocr
01051037	20	10	invalid_votes	0.7	ocr
01051037	21	10	spd	27.2	ocr
01051037	21	10	fdp	3.4	ocr
01051037	21	10	dkp	0.7	ocr
01051037	21	10	gruene	5.6	ocr
01051038	20	11	without_certificate	90.8	ocr
01051038	20	11	number_voters	77.0	ocr
01051038	21	11	spd	29.9	ocr
01051038	21	11	ssw	3.0	ocr
01051038	21	11	dkp	3.0	ocr
01051038	21	11	gruene	1.5	ocr
01051039	20	12	without_certificate	93.6	ocr
01051039	20	12	with_certificate	6.4	ocr
01051039	20	12	number_voters	84.4	ocr
01051039	20	12	invalid_votes	0.4	ocr
01051039	21	12	spd	36.3	ocr
01051039	21	12	fdp	2.4	ocr
01051039	21	12	gruene	1.2	ocr
01051040	20	13	without_certificate	89.8	ocr
01051040	20	13	with_certificate	10.2	ocr
01051040	20	13	number_voters	84.7	ocr
01051040	21	13	spd	2.0	ocr
01051040	21	13	gruene	8.0	visual
01051043	20	14	without_certificate	88.9	ocr
01051043	20	14	with_certificate	11.1	ocr
01051043	20	14	number_voters	83.1	ocr
01051043	21	14	spd	44.8	ocr
01051043	21	14	fdp	2.3	ocr
01051043	21	14	gruene	3.5	ocr
01051044	20	15	without_certificate	90.6	ocr
01051044	20	15	with_certificate	9.4	ocr
01051044	20	15	number_voters	75.5	ocr
01051044	20	15	invalid_votes	0.4	ocr
01051044	21	15	spd	44.8	ocr
01051044	21	15	fdp	2.4	ocr
01051044	21	15	dkp	0.1	ocr
01051044	21	15	gruene	2.2	ocr
01051045	20	16	without_certificate	96.8	ocr
01051045	20	16	with_certificate	3.2	ocr
01051045	20	16	number_voters	73.4	ocr
01051045	20	16	invalid_votes	1.1	ocr
01051045	21	16	spd	28.9	ocr
01051045	21	16	fdp	2.2	ocr
01051045	21	16	gruene	3.3	ocr
01051046	20	17	without_certificate	92.5	ocr
01051046	20	17	with_certificate	7.5	ocr
01051046	20	17	number_voters	73.5	ocr
01051046	20	17	invalid_votes	0.4	ocr
01051046	21	17	cdu	42.6	ocr
01051046	21	17	fdp	2.2	ocr
01051046	21	17	dkp	0.2	ocr
01051046	21	17	gruene	1.2	ocr
01051047	20	18	without_certificate	91.3	ocr
01051047	20	18	with_certificate	8.7	ocr
01051047	20	18	number_voters	77.9	ocr
01051047	21	18	spd	36.8	ocr
01051047	21	18	fdp	2.6	ocr
01051047	21	18	ssw	0.3	ocr
