ags	source_page	source_row	field	value	ocr	pdf_text	method
01051012	19	14	fp	0	-		ocr_candidates_and_row_identities
01051012	19	14	fsu	0	-		ocr_candidates_and_row_identities
01051012	19	14	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051013	18	15	eligible_voters	4118	4718	4118	ocr_candidates_and_row_identities
01051013	18	15	without_certificate	3454	3454	H54	ocr_candidates_and_row_identities
01051013	18	15	with_certificate	664	664	664	ocr_candidates_and_row_identities
01051013	18	15	number_voters	2828	2828	2828	ocr_candidates_and_row_identities
01051013	18	15	invalid_votes	10	10	10	ocr_candidates_and_row_identities
01051013	19	15	valid_votes	2818	2818	2818	ocr_candidates_and_row_identities
01051013	19	15	cdu	1599	1599	1599	ocr_candidates_and_row_identities
01051013	19	15	spd	1086	1086	1086	ocr_candidates_and_row_identities
01051013	19	15	fdp	68	68	68	ocr_candidates_and_row_identities
01051013	19	15	ssw	0	-		ocr_candidates_and_row_identities
01051013	19	15	dkp	3	3	3	ocr_candidates_and_row_identities
01051013	19	15	dgl	0	-		ocr_candidates_and_row_identities
01051013	19	15	gruene	62	62	62	ocr_candidates_and_row_identities
01051013	19	15	fp	0	-		ocr_candidates_and_row_identities
01051013	19	15	fsu	0	-		ocr_candidates_and_row_identities
01051013	19	15	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051014	18	16	eligible_voters	253	253	253	ocr_candidates_and_row_identities
01051014	18	16	without_certificate	208	208	208	ocr_candidates_and_row_identities
01051014	18	16	with_certificate	45	45	lt5	ocr_candidates_and_row_identities
01051014	18	16	number_voters	186	186	1!16	ocr_candidates_and_row_identities
01051014	18	16	invalid_votes	1	1		ocr_candidates_and_row_identities
01051014	19	16	valid_votes	185	185	185	ocr_candidates_and_row_identities
01051014	19	16	cdu	80	80	80	ocr_candidates_and_row_identities
01051014	19	16	spd	87	87	87	ocr_candidates_and_row_identities
01051014	19	16	fdp	10	10	10	ocr_candidates_and_row_identities
01051014	19	16	ssw	0	-		ocr_candidates_and_row_identities
01051014	19	16	dkp	1	1	1	ocr_candidates_and_row_identities
01051014	19	16	dgl	0	-		ocr_candidates_and_row_identities
01051014	19	16	gruene	7	7	7	ocr_candidates_and_row_identities
01051014	19	16	fp	0	-		ocr_candidates_and_row_identities
01051014	19	16	fsu	0	-		ocr_candidates_and_row_identities
01051014	19	16	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051015	18	17	eligible_voters	499	499	499	ocr_candidates_and_row_identities
01051015	18	17	without_certificate	457	457	457	ocr_candidates_and_row_identities
01051015	18	17	with_certificate	42	42	42	ocr_candidates_and_row_identities
01051015	18	17	number_voters	393	393	393	ocr_candidates_and_row_identities
01051015	18	17	invalid_votes	2	2	2	ocr_candidates_and_row_identities
01051015	19	17	valid_votes	391	391	391	ocr_candidates_and_row_identities
01051015	19	17	cdu	243	243	243	ocr_candidates_and_row_identities
01051015	19	17	spd	126	126	126	ocr_candidates_and_row_identities
01051015	19	17	fdp	16	16	16	ocr_candidates_and_row_identities
01051015	19	17	ssw	0	-		ocr_candidates_and_row_identities
01051015	19	17	dkp	0			ocr_candidates_and_row_identities
01051015	19	17	dgl	0	-		ocr_candidates_and_row_identities
01051015	19	17	gruene	6	6	6	ocr_candidates_and_row_identities
01051015	19	17	fp	0	-		ocr_candidates_and_row_identities
01051015	19	17	fsu	0	-		ocr_candidates_and_row_identities
01051015	19	17	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051016	18	18	eligible_voters	3221	3221	3221	ocr_candidates_and_row_identities
01051016	18	18	without_certificate	2841	2841	2!141	ocr_candidates_and_row_identities
01051016	18	18	with_certificate	380	380	380	ocr_candidates_and_row_identities
01051016	18	18	number_voters	2326	2326	2326	ocr_candidates_and_row_identities
01051016	18	18	invalid_votes	5	5	5	ocr_candidates_and_row_identities
01051016	19	18	valid_votes	2321	2321	2321	ocr_candidates_and_row_identities
01051016	19	18	cdu	1209	1209	1209	ocr_candidates_and_row_identities
01051016	19	18	spd	938	938	93~	ocr_candidates_and_row_identities
01051016	19	18	fdp	70	70	70	ocr_candidates_and_row_identities
01051016	19	18	ssw	0	-		ocr_candidates_and_row_identities
01051016	19	18	dkp	2	2	2	ocr_candidates_and_row_identities
01051016	19	18	dgl	0	-		ocr_candidates_and_row_identities
01051016	19	18	gruene	102	102	102	ocr_candidates_and_row_identities
01051016	19	18	fp	0	-		ocr_candidates_and_row_identities
01051016	19	18	fsu	0	-		ocr_candidates_and_row_identities
01051016	19	18	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051017	18	19	eligible_voters	215	215	215	ocr_candidates_and_row_identities
01051017	18	19	without_certificate	197	197	197	ocr_candidates_and_row_identities
01051017	18	19	with_certificate	18	18	18	ocr_candidates_and_row_identities
01051017	18	19	number_voters	169	169	169	ocr_candidates_and_row_identities
01051017	18	19	invalid_votes	1	1		ocr_candidates_and_row_identities
01051017	19	19	valid_votes	168	168	168	ocr_candidates_and_row_identities
01051017	19	19	cdu	102	102	102	ocr_candidates_and_row_identities
01051017	19	19	spd	61	61	61	ocr_candidates_and_row_identities
01051017	19	19	fdp	3	3	3	ocr_candidates_and_row_identities
01051017	19	19	ssw	0	-		ocr_candidates_and_row_identities
01051017	19	19	dkp	0			ocr_candidates_and_row_identities
01051017	19	19	dgl	0	-		ocr_candidates_and_row_identities
01051017	19	19	gruene	2	2	2	ocr_candidates_and_row_identities
01051017	19	19	fp	0	-		ocr_candidates_and_row_identities
01051017	19	19	fsu	0	-		ocr_candidates_and_row_identities
01051017	19	19	einzelbewerber_llsh	0	_		ocr_candidates_and_row_identities
01051019	18	20	eligible_voters	573	573	573	ocr_candidates_and_row_identities
01051019	18	20	without_certificate	537	537	537	ocr_candidates_and_row_identities
01051019	18	20	with_certificate	36	36	36	ocr_candidates_and_row_identities
01051019	18	20	number_voters	463	463	463	ocr_candidates_and_row_identities
01051019	18	20	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051019	19	20	valid_votes	462	462	462	ocr_candidates_and_row_identities
01051019	19	20	cdu	356	356	356	ocr_candidates_and_row_identities
01051019	19	20	spd	95	95	95	ocr_candidates_and_row_identities
01051019	19	20	fdp	4	4	4	ocr_candidates_and_row_identities
01051019	19	20	ssw	0			ocr_candidates_and_row_identities
01051019	19	20	dkp	0			ocr_candidates_and_row_identities
01051019	19	20	dgl	0	-		ocr_candidates_and_row_identities
01051019	19	20	gruene	7	7	7	ocr_candidates_and_row_identities
01051019	19	20	fp	0	-		ocr_candidates_and_row_identities
01051019	19	20	fsu	0	-		ocr_candidates_and_row_identities
01051019	19	20	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
